date,month_cn,month_en,lunar,solar_term,weekday_en,weekday_cn,day,main_text,footer
2026-01-01,一月,January,,,Thursday,星期四,1,"“Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.” ― Roy T. Bennett, The Light in the Heart",
2026-01-02,一月,January,,,Friday,星期五,2,"“Believe in yourself. You are braver than you think, more talented than you know, and capable of more than you imagine.” ― Roy T. Bennett, The Light in the Heart",
2026-01-03,一月,January,,,Saturday,星期六,3,"Live the Life of Your Dreams: Be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others.” ― Roy T. Bennett, The Light in the Heart",
2026-01-04,一月,January,,,Sunday,星期日,4,"“Find a purpose to serve, not a lifestyle to live.” ― Criss Jami, Venus in Arms",
2026-01-05,一月,January,,,Monday,星期一,5,"“When we are no longer able to change a situation, we are challenged to change ourselves.” ― Viktor E. Frankl, Man's Search for Meaning",
2026-01-06,一月,January,,,Tuesday,星期二,6,"“Life is about accepting the challenges along the way, choosing to keep moving forward, and savoring the journey.” ― Roy T. Bennett, The Light in the Heart",
2026-01-07,一月,January,,,Wednesday,星期三,7,"“I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.” ― Marilyn Monroe",
2026-01-08,一月,January,,,Thursday,星期四,8,“You know you're in love when you can't fall asleep because reality is finally better than your dreams.” ― Dr. Seuss,
2026-01-09,一月,January,,,Friday,星期五,9,"“You've gotta dance like there's nobody watching,Love like you'll never be hurt,Sing like there's nobody listening,And live like it's heaven on earth.” ― William W. Purkey",
2026-01-10,一月,January,,,Saturday,星期六,10,"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.” ― Elie Wiesel",
2026-01-11,一月,January,,,Sunday,星期日,11,,
2026-01-12,一月,January,,,Monday,星期一,12,,
2026-01-13,一月,January,,,Tuesday,星期二,13,,
2026-01-14,一月,January,,,Wednesday,星期三,14,,
2026-01-15,一月,January,,,Thursday,星期四,15,,
2026-01-16,一月,January,,,Friday,星期五,16,,
2026-01-17,一月,January,,,Saturday,星期六,17,,
2026-01-18,一月,January,,,Sunday,星期日,18,,
2026-01-19,一月,January,,,Monday,星期一,19,,
2026-01-20,一月,January,,,Tuesday,星期二,20,,
2026-01-21,一月,January,,,Wednesday,星期三,21,,
2026-01-22,一月,January,,,Thursday,星期四,22,,
2026-01-23,一月,January,,,Friday,星期五,23,,
2026-01-24,一月,January,,,Saturday,星期六,24,,
2026-01-25,一月,January,,,Sunday,星期日,25,,
2026-01-26,一月,January,,,Monday,星期一,26,,
2026-01-27,一月,January,,,Tuesday,星期二,27,,
2026-01-28,一月,January,,,Wednesday,星期三,28,,
2026-01-29,一月,January,,,Thursday,星期四,29,,
2026-01-30,一月,January,,,Friday,星期五,30,,
2026-01-31,一月,January,,,Saturday,星期六,31,,
